,transactionNumber,account_Will,account_Will_not,account_Will_pool,account_Will_not_pool,totalVolume,totalPoolVolume,totalFee,whoBuy,ratioVolume,z,order,transactCost,previousCost,deltaQ,costPerUnit,r,profitCumSum
0,0,1000000.0,1000000.0,0.0,0.0,2000000.0,0.0,0.02885390081777927,Initial,1.0,0.0,Initial,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1000000.0,999152.5662630628,0.0,847.4337369372327,1999152.5662630629,847.4337369372327,0.02885390081777927,['Will_not'],0.0,0.0,buy,,0.0,847.4337369372327,,0.0,
0,1,999236.2253810234,999152.5662630628,763.7746189766141,847.4337369372327,1998388.7916440861,1611.2083559138468,0.034627403509675525,['Will'],1.0,0.005773502691896258,buy,,,763.7746189766141,,1.0,
0,2,999236.2253810234,998897.4972373233,763.7746189766141,1102.5027626766544,1998133.7226183466,1866.2773816532685,0.034627403509675525,['Will_not'],1.0,0.005773502691896258,['buy'],253.54903050339965,849.0823648215456,255.0690257394217,-0.005959152553375418,1.0,253.54903050339965
0,3,998740.7902939314,998897.4972373233,1259.209706068555,1102.5027626766544,1997638.2875312548,2361.7124687452097,0.03658812406140973,['Will'],1.7255083179297597,0.007734223243630463,['buy'],163.134035987355,1102.6313953249453,495.43508709194094,-0.6707257111221087,1.7255083179297597,416.68306649075464
0,4,999190.2813587202,998897.4972373233,809.7186412798169,1102.5027626766544,1998087.7785960436,1912.2214039564712,0.036658367863456914,['Will'],1.765321375186846,0.007804467045677644,['sell'],-160.36914322693224,1265.7654313123003,449.49106478873813,-1.356779379590796,1.765321375186846,256.3139232638224
0,5,998538.6883859974,998897.4972373233,1461.31161400258,1102.5027626766544,1997436.1856233208,2563.8143766792346,0.03571574296525642,['Will'],1.3340306834030684,0.006861842147477147,['buy'],356.2714587867097,1105.396288085368,651.592972722763,-0.4532300474359251,1.3340306834030684,612.5853820505321
0,6,997749.9650348619,998897.4972373233,2250.034965138093,1102.5027626766544,1996647.4622721854,3352.537727814747,0.03583203419640253,['Will'],1.3777538957549704,0.006978133378623266,['buy'],788.3675636200637,1461.6677468720777,788.7233511355132,-0.00045109291481895436,1.3777538957549704,1400.952945670596
0,7,997656.1054480877,998897.4972373233,2343.8945519123276,1102.5027626766544,1996553.602685411,3446.397314588982,0.036064874115585,['Will'],1.4719051799824407,0.0072109732978057235,['buy'],93.8634436040943,2250.0353104921414,93.8595867742349,4.1091485611145124e-05,1.4719051799824407,1494.8163892746902
0,8,997684.4529246096,998897.4972373233,2315.5470753903214,1102.5027626766544,1996581.950161933,3418.049838066976,0.035715600461334714,['Will'],1.3339783281733746,0.006861699643555445,['sell'],-28.345218119675792,2343.8987540962357,28.34747652200631,-1.9999203314507108,1.3339783281733746,1466.4711711550144
0,9,998520.2180285295,998897.4972373233,1479.7819714704517,1102.5027626766544,1997417.7152658529,2582.284734147106,0.035332015298887895,['Will'],1.202602884277172,0.006478114481108627,['sell'],-830.5738118392392,2315.55353597656,835.7651039198697,-1.9937885752153535,1.202602884277172,635.8973593157752
0,10,998087.4509606245,998897.4972373233,1912.5490393755051,1102.5027626766544,1996984.9481979478,3015.0518020521595,0.03420956230313394,['Will'],0.896875,0.005355661485354672,['buy'],427.57851445566007,1484.9797241373208,432.76706790505335,-0.011989252034610964,0.896875,1063.4758737714353
0,11,997325.1708781666,998897.4972373233,2674.829121833447,1102.5027626766544,1996222.6681154899,3777.331884510101,0.034566631892561275,['Will'],0.9843342036553525,0.005712731074782005,['buy'],762.2709124774485,1912.5582385929808,762.280082457942,-1.2029673481506774e-05,0.9843342036553525,1825.7467862488838
0,12,997325.1708781666,998899.6032906744,2674.829121833447,1100.3967093255437,1996224.774168841,3775.225831158991,0.03518523891014311,['Will_not'],1.1567666870789957,0.006331338092363836,['sell'],0.0009231488925252052,2674.8291510704294,2.1060533511106927,-0.9995616688000623,1.1567666870789957,1825.7477093977764
0,13,996879.7836841118,998899.6032906744,3120.2163158882486,1100.3967093255437,1995779.3869747862,4220.613025213792,0.035102613796198036,['Will'],1.13189448441247,0.006248712978418766,['buy'],445.38627350688193,2674.830074219322,445.38719405480145,-2.0668486472176504e-06,1.13189448441247,2271.1339829046583
0,14,997601.3237164526,998899.6032906744,2398.676283547466,1100.3967093255437,1996500.927007127,3499.0729928730098,0.035380322043865244,['Will'],1.2181818181818183,0.006526421226085973,['sell'],-721.5150465173328,3120.216347726204,721.5400323407825,-1.9999653715354244,1.2181818181818183,1549.6189363873254
0,15,997830.085937723,998899.6032906744,2169.9140622770133,1100.3967093255437,1996729.6892283973,3270.310771602557,0.03465056689424489,['Will'],1.0060362173038229,0.005796666076465615,['sell'],-228.7693468503603,2398.701301208871,228.76222127045264,-2.000031148411954,1.0060362173038229,1320.8495895369651
0,16,997830.085937723,997954.3325951204,2169.9140622770133,2045.6674048794662,1995784.4185328435,4215.581467156479,0.0342667092587945,['Will_not'],0.9103812969663234,0.005412808441015229,['buy'],31.938360182980887,2169.9319543585107,945.2706955539223,-0.9662124719054522,0.9103812969663234,1352.787949719946
0,17,997830.085937723,998855.7600527318,2169.9140622770133,1144.2399472679826,1996685.8459904548,3314.154009544996,0.03503232416652822,['Will_not'],1.1112282551396941,0.006178423348748951,['sell'],-31.81406267339935,2201.8703145414916,901.4274576114835,-1.0352929815979837,1.1112282551396941,1320.9738870465467
